alvo,angle,distance,intensity
270.00,269.25,762,237
270.00,270.05,762,237
270.00,270.84,762,235
270.00,271.64,746,238
0.00,358.65,1713,243
0.00,359.44,1713,242
0.00,0.23,1713,242
0.00,1.01,1713,244
0.00,1.80,1713,243
180.00,178.42,1245,241
180.00,179.21,1245,240
180.00,180.00,1245,238
180.00,180.79,715,227
180.00,181.58,637,225
0.00,358.19,1712,241
0.00,358.97,1712,240
0.00,359.76,1712,242
0.00,0.55,1696,242
0.00,1.34,1712,242
90.00,88.63,1946,236
90.00,89.41,1946,237
90.00,90.18,1946,237
90.00,90.96,1946,237
90.00,91.73,1962,236
270.00,268.02,762,238
270.00,268.84,762,240
270.00,269.66,762,238
270.00,270.48,762,236
270.00,271.30,762,237
0.00,358.22,1712,241
0.00,359.01,1712,242
0.00,359.80,1712,242
0.00,0.59,1712,244
0.00,1.37,1712,243
180.00,178.60,1229,243
180.00,179.39,1229,240
180.00,180.18,1229,240
180.00,180.98,1245,223
180.00,181.77,684,224
270.00,268.11,949,238
