tempo_us,x_m,y_m,z_m,lidar_angle_deg,distance_m,intensity,X_lidar_m,Y_lidar_m,Z_lidar_m,X_body_m,Y_body_m,Z_body_m,X_global_m,Y_global_m,Z_global_m
38770489,0.0946553800441121,2.4536783579894887,0.0,49.42,0.211,214,0.16025416749108867,0.0,0.13725742894917597,0.16025416749108867,0.0,0.13725742894917597,0.26204108815549504,2.4726314139852117,0.12705827949596157
38955171,0.0976666666666666,2.487777777777778,0.0,121.17,0.218,216,0.18652851310257362,0.0,-0.11283223741352921,0.18652851310257362,0.0,-0.11283223741352921,0.27795607525185634,2.4393523967309036,-0.1125820217551077
38955171,0.0976666666666666,2.487777777777778,0.0,90.45,0.114,180,0.11399648397150602,0.0,-0.0008953447013131054,0.11399648397150602,0.0,-0.0008953447013131054,0.21098013270509064,2.4756771434179474,-0.0031037175207495465
39064529,0.0976666666666666,2.49261479351133,0.0,250.26000000000002,1.2510000000000001,237,-1.177484958121524,0.0,-0.42252831076456043,-1.177484958121524,0.0,-0.42252831076456043,-1.0938426222496995,2.4941085163246264,-0.38118812051029716
39064529,0.0976666666666666,2.49261479351133,0.0,90.16,0.596,224,0.5959976761361381,0.0,-0.0016643438115505154,0.5959976761361381,0.0,-0.0016643438115505154,0.6905383901257357,2.4333145044382647,-0.014233595418020342
39064529,0.0976666666666666,2.49261479351133,0.0,171.32,0.212,210,0.031994141454891614,0.0,-0.20957188483325806,0.031994141454891614,0.0,-0.20957188483325806,0.11955544686597482,2.4325304133932324,-0.2021255762322283
39247484,0.0976666666666666,2.5346444253393057,0.0,31.48,1.905,229,0.9947927246450887,0.0,1.62462686023382,0.9947927246450887,0.0,1.62462686023382,1.169967111060687,2.859056175254283,1.5407640226424968
39247484,0.0976666666666666,2.5346444253393057,0.0,146.61,1.375,236,0.756710656984923,0.0,-1.1480479003967763,0.756710656984923,0.0,-1.1480479003967763,0.793006722576611,2.172935304406388,-1.1297317019899422
39247484,0.0976666666666666,2.5346444253393057,0.0,192.66,0.08,240,-0.017533207939409892,0.0,-0.0780550230244884,-0.017533207939409892,0.0,-0.0780550230244884,0.07627279051097302,2.516311946140924,-0.07487471048007958
39321957,0.0976666666666666,2.55709973259147,0.0,349.99,1.794,161,-0.3118331811800519,0.0,1.7666907106551302,-0.3118331811800519,0.0,1.7666907106551302,-0.12158035805099718,3.039621740169837,1.7139251017343187
39321957,0.0976666666666666,2.55709973259147,0.0,55.09,2.217,224,1.818055295283906,0.0,1.2687647312603507,1.818055295283906,0.0,1.2687647312603507,1.972404815544066,2.712221949902222,1.173193492498291
39321957,0.0976666666666666,2.55709973259147,0.0,120.18,0.992,238,0.857534733689898,0.0,-0.49869648135453676,0.857534733689898,0.0,-0.49869648135453676,0.9253701041437449,2.3487652713655742,-0.5055371122423598
39404242,0.0976666666666666,2.573777777777778,0.0,330.06,0.597,236,-0.29795841731780665,0.0,0.5173294709848529,-0.29795841731780665,0.0,0.5173294709848529,-0.1709363169712458,2.737039131711579,0.5075501625381608
39475639,0.0976351799635052,2.574079455883552,0.0,149.36,0.17200000000000001,239,0.08765845890680102,0.0,-0.14798646756404682,0.08765845890680102,0.0,-0.14798646756404682,0.17646382494890264,2.5267907777866254,-0.14537477653847458
39475639,0.0976351799635052,2.574079455883552,0.0,4.69,0.106,161,0.00866704350251114,0.0,0.10564507729622606,0.00866704350251114,0.0,0.10564507729622606,0.11221776316778143,2.6007577407801135,0.10154613425467389
39475639,0.0976351799635052,2.574079455883552,0.0,40.58,0.159,128,0.10343095356833641,0.0,0.1207602494364128,0.10343095356833641,0.0,0.1207602494364128,0.20731881649349154,2.5952803455444466,0.11314160222988015
39570931,0.0976733906349368,2.576158821336052,0.0,197.31,0.081,243,-0.02410086204617205,0.0,-0.07733141954362006,-0.02410086204617205,0.0,-0.07733141954362006,0.06951386838187198,2.5589444731996296,-0.07397099110270997
39570931,0.0976733906349368,2.576158821336052,0.0,288.75,0.214,210,-0.2026430477119526,0.0,0.06878804557487656,-0.2026430477119526,0.0,0.06878804557487656,-0.099974302051057,2.61557312355411,0.07195764279467853
39570931,0.0976733906349368,2.576158821336052,0.0,307.04,0.154,210,-0.12292513607422048,0.0,0.092765354099116,-0.12292513607422048,0.0,0.092765354099116,-0.0194445260873312,2.613140032808644,0.09290739249734305
39667247,0.0977706059429571,2.5809305238409306,0.0,254.48000000000002,0.627,241,-0.6041377684162914,0.0,-0.16776935588176847,-0.6041377684162914,0.0,-0.16776935588176847,-0.5100107736249294,2.603208882475047,-0.1524285714265091
39667247,0.0977706059429571,2.5809305238409306,0.0,262.06,0.1,238,-0.09904132674702733,0.0,-0.013813601854280095,-0.09904132674702733,0.0,-0.013813601854280095,-0.0012760098986703133,2.588090278666846,-0.011768848760769527
39774267,0.0976585186977279,2.588887678310956,0.0,0.8,3.372,234,0.04708047210359786,0.0,3.371671310959374,0.04708047210359786,0.0,3.371671310959374,0.28425738479002394,3.426006704379147,3.261103586114326
39774267,0.0976585186977279,2.588887678310956,0.0,14.44,0.154,240,0.03840236786776453,0.0,0.14913503324889457,0.03840236786776453,0.0,0.14913503324889457,0.14204629209282574,2.6222983588168556,0.14362956520562947
39774267,0.0976585186977279,2.588887678310956,0.0,28.07,0.242,196,0.11387308454303795,0.0,0.21353435465201878,0.11387308454303795,0.0,0.21353435465201878,0.21980046453837504,2.6308619132525255,0.20465460822402792
39774267,0.0976585186977279,2.588887678310956,0.0,68.98,0.10200000000000001,213,0.0952124381121901,0.0,0.036586768492617244,0.0952124381121901,0.0,0.036586768492617244,0.19390059419245712,2.5885414580122723,0.033783768824268624
39879270,0.0976017016244443,2.5978891361008567,0.0,67.95,0.158,216,0.1464433421111391,0.0,0.05931566025359471,0.1464433421111391,0.0,0.05931566025359471,0.24568140127154053,2.5977922679296306,0.05510347692281465
39879270,0.0976017016244443,2.5978891361008567,0.0,192.25,0.13,211,-0.027583097380338005,0.0,-0.12704004384014825,-0.027583097380338005,0.0,-0.12704004384014825,0.06508509834110418,2.5699312252759103,-0.1227233707702743
39879270,0.0976017016244443,2.5978891361008567,0.0,347.62,0.754,241,-0.16165337092873233,0.0,0.7364673704023673,-0.16165337092873233,0.0,0.7364673704023673,-0.033845412400473965,2.791624621202123,0.7167316220365173
40162002,0.1010333314733844,2.619050918699858,0.0,240.89000000000001,0.9540000000000001,236,-0.8334977110942245,0.0,-0.46410943278572625,-0.8334977110942245,0.0,-0.46410943278572625,-0.7500363281443723,2.5917678212826134,-0.4301767858374469
40162002,0.1010333314733844,2.619050918699858,0.0,152.83,0.163,232,0.07443104323696195,0.0,-0.14501386072599234,0.07443104323696195,0.0,-0.14501386072599234,0.1681964291715169,2.577019825870308,-0.1424482556690143
40304828,0.104797916923109,2.627011801155838,0.0,19.12,0.273,239,0.08942052986214265,0.0,0.25793985508093487,0.08942052986214265,0.0,0.25793985508093487,0.20729081025867951,2.68111494007239,0.2471781891168387
40304828,0.104797916923109,2.627011801155838,0.0,209.06,1.008,234,-0.4896110558988294,0.0,-0.8811044285109644,-0.4896110558988294,0.0,-0.8811044285109644,-0.42851417810106374,2.460109103241268,-0.8389193636636153
