tempo_us,x,y,angle_x,angle_y,angle_z,angle,distance,intensity
48422842,0.197860671164471,4.640469051922263,-12.72691456899723,-0.15652357633435224,-6.104319013735966,31143,61697,13
48422842,0.197860671164471,4.640469051922263,-12.72691456899723,-0.15652357633435224,-6.104319013735966,32209,13712,72
48422842,0.197860671164471,4.640469051922263,-12.72691456899723,-0.15652357633435224,-6.104319013735966,33274,61837,144
48422842,0.197860671164471,4.640469051922263,-12.72691456899723,-0.15652357633435224,-6.104319013735966,34340,61442,191
48422842,0.197860671164471,4.640469051922263,-12.72691456899723,-0.15652357633435224,-6.104319013735966,35406,1005,238
48422842,0.197860671164471,4.640469051922263,-12.72691456899723,-0.15652357633435224,-6.104319013735966,472,46071,20
48422842,0.197860671164471,4.640469051922263,-12.72691456899723,-0.15652357633435224,-6.104319013735966,1538,43269,10
48422842,0.197860671164471,4.640469051922263,-12.72691456899723,-0.15652357633435224,-6.104319013735966,2604,21209,84
48487897,0.20113325380239047,4.648297275502772,-12.715610403164998,-0.33002516230260054,-6.40571389300361,563,9199,2
48487897,0.20113325380239047,4.648297275502772,-12.715610403164998,-0.33002516230260054,-6.40571389300361,3319,61821,75
48487897,0.20113325380239047,4.648297275502772,-12.715610403164998,-0.33002516230260054,-6.40571389300361,6075,60928,240
48487897,0.20113325380239047,4.648297275502772,-12.715610403164998,-0.33002516230260054,-6.40571389300361,8831,81,224
48487897,0.20113325380239047,4.648297275502772,-12.715610403164998,-0.33002516230260054,-6.40571389300361,11587,57985,0
48487897,0.20113325380239047,4.648297275502772,-12.715610403164998,-0.33002516230260054,-6.40571389300361,14343,56721,86
48487897,0.20113325380239047,4.648297275502772,-12.715610403164998,-0.33002516230260054,-6.40571389300361,17100,43008,234
48487897,0.20113325380239047,4.648297275502772,-12.715610403164998,-0.33002516230260054,-6.40571389300361,19856,54528,137
48487897,0.20113325380239047,4.648297275502772,-12.715610403164998,-0.33002516230260054,-6.40571389300361,22612,18557,161
48487897,0.20113325380239047,4.648297275502772,-12.715610403164998,-0.33002516230260054,-6.40571389300361,25368,30155,0
48487897,0.20113325380239047,4.648297275502772,-12.715610403164998,-0.33002516230260054,-6.40571389300361,28124,35029,211
48487897,0.20113325380239047,4.648297275502772,-12.715610403164998,-0.33002516230260054,-6.40571389300361,30881,43008,150
48639927,0.21164083840072653,4.674837714272816,-12.893317049596815,-0.10561788633858545,-5.643016954556648,25079,61841,145
48639927,0.21164083840072653,4.674837714272816,-12.893317049596815,-0.10561788633858545,-5.643016954556648,23998,60931,13
48639927,0.21164083840072653,4.674837714272816,-12.893317049596815,-0.10561788633858545,-5.643016954556648,22917,3547,44
